year,musician,work,category,status,cleaned_musician
1976,Linda Ronstadt,Heart Like a Wheel,album-of-the-year,nominee,Linda Ronstadt
1976,the Eagles,One of These Nights,album-of-the-year,nominee,the Eagles
1975,Stevie Wonder,Fulfillingness’ First Finale,album-of-the-year,winner,Stevie Wonder
1975,John Denver,Back Home Again,album-of-the-year,nominee,John Denver
1975,Paul McCartney & Wings,Band on the Run,album-of-the-year,nominee,Paul McCartney  Wings
1975,Elton John,Caribou,album-of-the-year,nominee,Elton John
1975,Joni Mitchell,Court and Spark,album-of-the-year,nominee,Joni Mitchell
1974,Stevie Wonder,Innervisions,album-of-the-year,winner,Stevie Wonder
1974,Charlie Rich,Behind Closed Doors,album-of-the-year,nominee,Charlie Rich
1974,Bette Midler,The Divine Miss M,album-of-the-year,nominee,Bette Midler
1974,Roberta Flack,Killing Me Softly,album-of-the-year,nominee,Roberta Flack
1974,Paul Simon,There Goes Rhymin’ Simon,album-of-the-year,nominee,Paul Simon
1973,"Billy Preston, Bob Dylan, Eric Clapton, George Harrison, Klaus Voormann, Leon Russell, Ravi Shankar & Ringo Starr","The Concert for Bangladesh, Billy Preston, Bob Dylan, Eric Clapton, George Harrison, Klaus Voormann, Leon Russell",album-of-the-year,winner,Billy Preston Bob Dylan Eric Clapton George Harrison Klaus Voormann Leon Russell Ravi Shankar  Ringo Starr
1973,Don McLean,American Pie,album-of-the-year,nominee,Don McLean
1973,cast recording,Jesus Christ Superstar,album-of-the-year,nominee,cast recording
1973,Neil Diamond,Moods,album-of-the-year,nominee,Neil Diamond
1973,Nilsson,Nilsson Schmilsson,album-of-the-year,nominee,Nilsson
1972,Carole King,Tapestry,album-of-the-year,winner,Carole King
1972,George Harrison,All Things Must Pass,album-of-the-year,nominee,George Harrison
1972,Carpenters,The Carpenters,album-of-the-year,nominee,Carpenters
1972,London production,Jesus Christ Superstar,album-of-the-year,nominee,London production
1972,Isaac Hayes,Shaft,album-of-the-year,nominee,Isaac Hayes
1971,Simon & Garfunkel,Bridge Over Troubled Water,album-of-the-year,winner,Simon  Garfunkel
1971,Chicago,Chicago,album-of-the-year,nominee,Chicago
1971,Carpenters,Close to You,album-of-the-year,nominee,Carpenters
1971,Nash & Young,"Déjà vu, Crosby, Stills",album-of-the-year,nominee,Nash  Young
1971,Elton John,Elton John,album-of-the-year,nominee,Elton John
